Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor
º C,W/g,º C,W/g,º C,W/g,º C,W/g
20 ºC/min,20 ºC/min,15 ºC/min,15 ºC/min,10 ºC/min,10 ºC/min,5 ºC/min,5 ºC/min
"94,8934","-1,041868","91,16504","-0,6872076","87,44191","-0,4499915","84,34112","-0,2239453"
"94,96008","-1,040443","91,21551","-0,6865832","87,47626","-0,4490554","84,35891","-0,2234473"
"95,02788","-1,038984","91,26571","-0,6859049","87,50929","-0,4482446","84,37538","-0,2230502"
"95,09508","-1,037428","91,31506","-0,6851589","87,54312","-0,4475244","84,39259","-0,2226018"
"95,16239","-1,035861","91,36675","-0,6844363","87,57703","-0,4466386","84,40808","-0,2221135"
"95,22938","-1,034077","91,41662","-0,6836278","87,61031","-0,4457226","84,43488","-0,221369"
"95,29762","-1,032701","91,46652","-0,682853","87,64444","-0,4448462","84,45899","-0,2205749"
"95,36432","-1,03107","91,51704","-0,68206","87,67813","-0,4439054","84,47678","-0,2200424"
"95,43212","-1,029506","91,56699","-0,6812198","87,71191","-0,4431136","84,49353","-0,219537"
"95,49908","-1,027761","91,61775","-0,6803625","87,7453","-0,442306","84,50995","-0,218984"
"95,56574","-1,025612","91,66824","-0,679585","87,77909","-0,4414684","84,52629","-0,2184877"
"95,6336","-1,02393","91,71758","-0,6787613","87,81332","-0,4404051","84,55258","-0,217661"
"95,70134","-1,022162","91,7684","-0,6779843","87,84626","-0,4394074","84,57657","-0,2168316"
"95,76895","-1,020375","91,81759","-0,6772898","87,88016","-0,4384768","84,59405","-0,2162924"
"95,83534","-1,01831","91,8685","-0,6766243","87,91366","-0,4375578","84,61195","-0,2157722"
"95,90324","-1,01629","91,91913","-0,6758754","87,94701","-0,4366529","84,62788","-0,2152328"
"95,97079","-1,014495","91,96924","-0,675126","87,98111","-0,435603","84,64522","-0,2147171"
"96,03785","-1,012447","92,01941","-0,6744304","88,01512","-0,4345288","84,67031","-0,2139108"
"96,10506","-1,010623","92,06994","-0,6738251","88,04843","-0,4336731","84,69499","-0,2130123"
"96,17266","-1,008372","92,11996","-0,6731564","88,08176","-0,4327604","84,71202","-0,212469"
"96,23985","-1,006157","92,17011","-0,672311","88,11561","-0,4317074","84,72952","-0,2119383"
"96,30725","-1,004045","92,22098","-0,6714301","88,14978","-0,4305782","84,74688","-0,2112954"
"96,37553","-1,001847","92,2718","-0,6706652","88,18262","-0,4294238","84,76266","-0,2105729"
"96,44234","-0,9997832","92,32184","-0,6698268","88,21701","-0,4283054","84,78801","-0,2096175"
"96,50899","-0,9971916","92,37199","-0,66889","88,25082","-0,4272898","84,81291","-0,2087471"
"96,57712","-0,9950524","92,42155","-0,6679278","88,28508","-0,4261884","84,83078","-0,2081493"
"96,64445","-0,9926202","92,47266","-0,6670465","88,31821","-0,4250221","84,84747","-0,2075562"
"96,71151","-0,9900041","92,52184","-0,6661628","88,35211","-0,4237924","84,86472","-0,2069634"
"96,77944","-0,9875309","92,57364","-0,6651852","88,38637","-0,4226956","84,88128","-0,2063776"
"96,84694","-0,9849247","92,62301","-0,664222","88,41952","-0,421579","84,89719","-0,2058244"
"96,91454","-0,9823142","92,67394","-0,663166","88,4533","-0,4202924","84,92343","-0,2049168"
"96,98124","-0,9796563","92,72394","-0,6621753","88,48761","-0,4190391","84,94828","-0,20388"
"97,04886","-0,9771395","92,77532","-0,6612295","88,52081","-0,4177778","84,96509","-0,2032046"
"97,11668","-0,9745551","92,82525","-0,6602664","88,55438","-0,4167211","84,98184","-0,2026568"
"97,18361","-0,9719662","92,87454","-0,6591568","88,58772","-0,415614","84,99894","-0,2020941"
"97,25178","-0,9691997","92,92574","-0,6579395","88,62157","-0,4144705","85,0159","-0,2014058"
"97,31847","-0,9662996","92,97634","-0,6568599","88,65556","-0,4134022","85,04056","-0,2004748"
"97,38655","-0,9635551","93,02632","-0,6556602","88,68934","-0,4122832","85,0659","-0,1995455"
"97,45372","-0,960618","93,07712","-0,6546332","88,72251","-0,411084","85,08334","-0,1988814"
"97,52231","-0,9577936","93,12647","-0,6534834","88,7558","-0,4099281","85,10019","-0,1981982"
"97,58918","-0,9548516","93,17719","-0,652246","88,79034","-0,4088328","85,11694","-0,197507"
"97,65743","-0,9518528","93,22772","-0,6511144","88,82415","-0,407702","85,13332","-0,1968625"
"97,72547","-0,9487187","93,27851","-0,6499858","88,85788","-0,4066615","85,15869","-0,1960366"
"97,79274","-0,9458481","93,32832","-0,6487521","88,89203","-0,4054638","85,18397","-0,1951734"
"97,86054","-0,9429672","93,37891","-0,647425","88,92562","-0,4043432","85,20158","-0,194629"
"97,92782","-0,9399101","93,43006","-0,6461096","88,95936","-0,403122","85,21788","-0,1940655"
"97,99456","-0,9369425","93,47941","-0,6447165","88,99306","-0,401951","85,23519","-0,1935359"
"98,063","-0,9340274","93,53012","-0,6433338","89,02697","-0,400751","85,25155","-0,1930253"
"98,13016","-0,9313524","93,58094","-0,6419272","89,06069","-0,3994846","85,27741","-0,1921481"
"98,19775","-0,9285465","93,6314","-0,6405698","89,09484","-0,3983406","85,30181","-0,1912552"
